id,latitude,longitude,weighted_pop_density,avg_winter_low_temp,introduced,prop_forest,col_class,melanic_binary,pop_den_scaled,winter_temp_scaled,prop_forest_scaled,RAC_20km
4261491,43.731548,-79.762418,4893.19952827149,-6.75,N,0.00943665999428081,gray,0,0.6130480558339442,-0.8646527152515553,-0.739268634676576,0.5088956491148644
12294619,40.8714705008,-73.921780279,6192.785759172538,-0.75,N,0.18489490559315996,gray,0,0.9345651133796906,0.05979611603266883,0.09034981684242875,-0.20585293959630144
19352271,40.93325,-75.27613,125.63534869783808,-5.25,N,0.6149228130360206,gray,0,-0.5664452091987585,-0.6335405074304993,2.123648881614241,-0.3848562044233927
19352915,38.9335656989,-79.9652937037,12.20739455198802,-4,N,0.6340474811812391,gray,0,-0.5945072347829496,-0.4409470009129526,2.214075965951578,-0.5387867327266364
19357024,42.971658644,-81.2887046582,2806.15332078087,-5.25,N,0.13315134971185927,melanic,1,0.09671374908374773,-0.6335405074304993,-0.154309011016078,0.5727511957713671
19359919,38.4665666667,-78.0191945,614.673828125,-1.5,N,0.12361437688948607,gray,0,-0.44545730613129436,-0.05575998787785919,-0.19940263769671907,-0.43390248907268475
19361868,40.7047550794,-79.5571341933,38.557769775390625,-3.75,N,0.8700742432895489,gray,0,-0.5879881636312179,-0.4024282996094432,3.330080267881013,-0.527198663699208
19363000,38.8392216667,-77.2121716667,1988.5122207315503,0.25,N,0.3087018544935806,melanic,1,-0.10557029668831076,0.2138709212467062,0.6757456691916767,-0.19535356642329865
19363210,32.1946883333,-94.76529,42.99946511698916,4,N,0.3123929183323815,gray,0,-0.5868892901722745,0.7916514407993464,0.693198110118302,0
19363825,42.3862223902,-87.8298568726,2006.2371826171873,-5.75,N,0.10686584314852055,gray,0,-0.10118514897354214,-0.7105779100375179,-0.27859465617363455,-0.24793895239710317
19363998,39.144555,-84.5086533333,2145.4152502543425,-2.5,N,0.09080492695502719,gray,0,-0.06675255672410318,-0.20983479309189657,-0.3545354156229447,-0.4574520710203128
19367614,40.6820116667,-73.4600216667,2444.4398233801976,-0.75,N,0.010758941552776962,gray,0,0.007225990138954603,0.05979611603266883,-0.7330164965950202,-0.34642376745862463
19369284,31.2982745169,-85.376669436,119.26381593596572,6.5,N,0.22724670864338867,gray,0,-0.5680215235801699,1.1768384538344399,0.29060166106691615,-0.2447585619040354
19374511,43.3025183333,-79.8439233333,4527.82763671875,-4.5,N,0.23887711864406783,melanic,1,0.5226552117973371,-0.5179844035199712,0.3455936775569991,0.6721175810999397
19374606,43.3151236,-79.8494562,652.8816528320314,-4.5,N,0.21640937678673527,melanic,1,-0.4360047072325579,-0.5179844035199712,0.23935955247961926,0.6781677266527364
19375862,29.7716161513,-95.5696825794,2186.887655443784,8.25,N,0.00341880341880341,gray,0,-0.056492302060886915,1.446469362959005,-0.7677228394736797,-0.20557335589647988
19376667,28.08360834,-81.30286164,0.15339544415473938,12,N,0,gray,0,-0.5974893888198715,2.0242498825116453,-0.7838879526530268,0.2917358202583012
19377479,43.51350089,-79.88841428,2924.990772264807,-6.25,N,0.13182346109175377,gray,0,0.1261140819118816,-0.7876153126445367,-0.16058766094239793,0.4731404356302503
19377629,43.51358339,-79.88772713,3037.3214351829092,-6.25,N,0.1251815277374383,melanic,1,0.15390463813264935,-0.7876153126445367,-0.1919926852300387,0.46113545643452136
19379425,38.6850366667,-90.46885,1106.1633544225592,-2.75,N,0.06294706723891273,gray,0,-0.3238630151544027,-0.2483534943954059,-0.48625561128221434,-0.4554277705591678
19381010,43.5463085346,-79.5837163925,2922.80224609375,-4.75,N,0.03816338700059631,gray,0,0.12557264150712114,-0.5565031048234806,-0.6034401776277563,0.4857830856641243
19381491,32.4758375623,-86.3623044827,213.55669162631796,5.5,N,0.22327586206896555,gray,0,-0.5446935079251647,1.0227636486204024,0.2718263246611046,-0.2601875153783872
19381519,31.33151,-94.707243,280.62468236940435,5,N,0.17572620074777107,gray,0,-0.5281009167399906,0.9457262460133837,0.04699747001880974,-0.24407528833502268
19381818,40.9925327648,-74.3581993753,507.2799926293415,-3.75,N,0.4040638606676342,gray,0,-0.47202649343576125,-0.4024282996094432,1.1266454238645314,-0.4034823983370538
19381947,39.738025,-75.6093,1754.1296386718752,-0.75,N,0.03203661327231121,gray,0,-0.16355644361105315,0.05979611603266883,-0.6324093749197851,-0.4211274510657134
19383125,41.845381,-87.87001,1379.6948938607284,-4.75,N,0.02368721461187214,gray,0,-0.25619143352711576,-0.5565031048234806,-0.67188779990999,-0.3853351478656028
19384468,45.3705063095,-75.7969968232,3310.42626953125,-11.5,N,0.2963752665245203,gray,0,0.22147065310982927,-1.596508040018233,0.6174619174734276,0.4351378569985996
19384566,45.3738527346,-75.7968251618,3310.42626953125,-11.5,N,0.4108804581245526,gray,0,0.22147065310982927,-1.596508040018233,1.1588763116608536,0.4337180730778161
19386169,40.7875924185,-73.9823122044,24316.7421875,-0.5,N,0.025316455696202524,gray,0,5.418423901174779,0.09831481733617817,-0.6641842664515321,-0.2662777285337002
19386209,28.47537202,-81.46479462,1769.5979346024149,12,N,0.0017704337562702813,gray,0,-0.15972959405341683,2.0242498825116453,-0.7755168185043829,-0.11917482214007287
19386211,28.47572928,-81.46553745,1730.1361000172528,12,N,0.0032602252519264904,gray,0,-0.16949243444022322,2.0242498825116453,-0.7684726439231663,-0.11896141056345824
19386213,28.47536611,-81.46583998,1719.039892945534,12,N,0.003249630723781385,gray,0,-0.1722376311519057,2.0242498825116453,-0.7685227379840315,-0.11896152930271364
19388186,43.3148366667,-79.84915,652.88165283203125,-4.5,N,0.21118721461187215,melanic,1,-0.4360047072325579,-0.5179844035199712,0.21466762601983058,0.6781661814869449
19391665,40.6643216667,-73.9762716667,18060.373046875,-0.75,N,0.15034364261168387,gray,0,3.8706009486192587,0.05979611603266883,-0.07301876805866876,-0.34321936662270025
19397654,39.1146918,-84.4936469,2026.7551269531248,-1.75,N,0.13160518444666003,gray,0,-0.09610901863842447,-0.09427868918136853,-0.16161973744405989,-0.46762223241156453
19397898,40.726472376,-73.5920152798,2273.5901474196244,-0.75,N,0.00142775556824671,gray,0,-0.03504214397277889,0.05979611603266883,-0.7771371022747301,-0.336145409564575
19399148,31.38708,-85.6635429,64.88855208415777,6.5,N,0.617816091954023,gray,0,-0.5814739397578834,1.1768384538344399,2.1373291596061526,-0.24675289478570794
19400277,40.7828647,-73.9653551,24199.34618895762,-0.5,N,0.02654580770475882,gray,0,5.389380183165532,0.09831481733617817,-0.6583715267525277,-0.26613278890730857
19400369,43.7214124,-79.4059811,4508.24365234375,-5.25,N,0.0357653791130186,melanic,1,0.5178101427426225,-0.6335405074304993,-0.614778667783247,0.7342283047728403
19401278,41.4798465,-81.8306338,1418.436279296875,-3.25,N,0.0724250519441971,melanic,1,-0.24660683194047128,-0.3253908970024246,-0.4414408978563492,0.5678611409661972
19401643,42.440369321,-71.0664001623,1868.0475100853084,-3.5,N,0.15924657534246575,gray,0,-0.13537321271199437,-0.3639095983059339,-0.030923070356466777,-0.43745286036807646
19402668,39.0749359131,-77.105506897,1303.131626045791,-0.75,N,0.2707324023938444,gray,0,-0.2751331520515404,0.05979611603266883,0.49621487570579087,0.06553402186930478
19406007,27.9417709261,-82.455005888,1059.5291748046875,13.25,N,0,gray,0,-0.33540029052350406,2.216843389029192,-0.7838879526530268,-0.12114095445064808
19410796,35.6944805907,-78.7655843953,810.6148655627318,2.25,N,0.4667817083692839,gray,0,-0.3969815803106526,0.5220205316747809,1.4231939475047322,-0.3022587857883567
19414131,38.9213797875,-77.1173045467,1925.362548828125,0.25,N,0.27469593592405817,gray,0,-0.12119349752915944,0.2138709212467062,0.5149556338768084,-0.06379007745449751
19416545,43.2842216667,-79.8835983333,2541.687744140625,-4.5,N,0.2994652406417112,melanic,1,0.031285082634614644,-0.5179844035199712,0.6320722285111786,0.7136537346463354
19416873,43.3023233333,-79.8440533333,4527.82763671875,-4.5,N,0.23894282632146713,gray,0,0.5226552117973371,-0.5179844035199712,0.3459043628792583,0.6767769995836908
19416883,43.3023583333,-79.8440216667,4527.82763671875,-4.5,N,0.23606729758149317,melanic,1,0.5226552117973371,-0.5179844035199712,0.332308012976106,0.672112878582479
19417960,43.31482,-79.8490816667,652.88165283203125,-4.5,N,0.2143674871207785,gray,0,-0.4360047072325579,-0.5179844035199712,0.22970489454626453,0.6829226555211083
19419211,32.599027886,-85.4834258929,1464.7181396484375,4.75,N,0.02861230329041488,gray,0,-0.23515672020170622,0.9072075447098744,-0.648600524757203,-0.25039408471233643
19419226,31.33151,-94.707243,280.62468236940435,5,N,0.18388489208633094,gray,0,-0.5281009167399906,0.9457262460133837,0.08557417441713978,-0.24407416777965932
19420044,43.0332227564,-76.1205103901,1450.7886794016213,-5.25,N,0.06525472238122496,gray,0,-0.2386028624932044,-0.6335405074304993,-0.4753443356150583,0.02750238042022099
19421130,41.6745468489,-70.0650380963,216.81980481867112,-1,N,0.0653146436027438,gray,0,-0.5438862151675947,0.02127741472915949,-0.47506101036670695,-0.41951422586113596
19425785,43.7861463678,-72.6155081765,14.989257067613144,-10.25,N,0.6910080183276059,gray,0,-0.5938190032295109,-1.4039145335006862,2.4834022233968502,-0.8110194547668088
19428549,41.9781724764,-87.7437947531,4016.985316358244,-4.75,N,0.0148021633931113,gray,0,0.3962730481464687,-0.5565031048234806,-0.713898948537493,-0.32268400983768863
19429133,43.3147883333,-79.8492066667,652.88165283203125,-4.5,N,0.21457142857142855,melanic,1,-0.4360047072325579,-0.5179844035199712,0.2306691900110422,0.678167182803783
19429166,43.31479,-79.8491966667,652.88165283203125,-4.5,N,0.2151826484018265,gray,0,-0.4360047072325579,-0.5179844035199712,0.23355921804877658,0.6829227990824085
19431617,27.987921,-81.865875,73.884124755859375,12.25,N,0.004285277012549732,gray,0,-0.5792484390657598,2.0627685838151546,-0.7636258961885558,-0.11190103355156147
19431991,36.164375,-86.71898,1327.4457713410568,1,N,0.1707161125319693,gray,0,-0.2691178432815687,0.32942702515723427,0.023308291927577177,-0.375028853508917
19433109,45.5074012621,-75.3373604349,257.1768493652344,-12.75,N,0.5695515566980862,melanic,1,-0.5339019002330965,-1.7891015465357796,1.9091201696801157,0.18739961049155326
19440646,42.8092466667,-70.8694166667,577.7325647568292,-4,N,0.03843490304709141,gray,0,-0.4545965583161393,-0.4409470009129526,-0.6021563694984375,-0.45470954098338645
19448637,32.844375,-84.8299716667,16.311473711508437,4,N,0.9125730994152047,gray,0,-0.5934918874178202,0.7916514407993464,3.5310274225157383,-0.2900335292169166
19448774,45.3870864,-75.7032037,3969.661763556199,-11,N,0.04470146920912786,gray,0,0.3845652221571344,-1.5194706374112144,-0.5725261922562955,0.40980028721483674
19450223,32.2743383333,-94.5693683333,11.145166036314222,5,N,0.6620111731843576,gray,0,-0.5947700296469456,0.9457262460133837,2.3462965679483516,-0.28628762168191185
19451444,41.844925,-87.871355,1326.4092599225394,-4.75,N,0.02288329519450801,gray,0,-0.26937427574712597,-0.5565031048234806,-0.6756889685578541,-0.3874261330372431
19452711,43.314815,-79.8491266667,652.88165283203125,-4.5,N,0.2146731373108764,melanic,1,-0.4360047072325579,-0.5179844035199712,0.23115009899675934,0.6781672128986818
19452750,36.5538901162,-87.3044833644,388.5520770080481,0,N,0.30491329479768786,gray,0,-0.5013997271400236,0.17535221994319686,0.6578322390324619,-0.40162824817446985
19454814,29.3806131076,-95.6160713704,2.6785800457000732,7.25,N,0.06426512968299711,gray,0,-0.5968646592686159,1.2923945577449676,-0.4800234224207886,-0.04504448196126351
19459083,29.8851524391,-95.5642207972,1571.489875184445,7.25,N,0,gray,0,-0.20874144015154109,1.2923945577449676,-0.7838879526530268,-0.2064564846737187
19466349,36.779895,-76.1339278333,1470.075811299415,3.25,N,0.0014363688595231223,gray,0,-0.23383123460978503,0.6760953368888183,-0.7770963760874436,-0.2391344499763115
19466662,40.116808584,-75.0201925635,1804.8565541803891,-1.75,N,0.11193603655054254,gray,0,-0.1510066271965155,-0.09427868918136853,-0.2546212829945616,-0.35136847698755164
19467595,38.5768051147,-90.4913482666,1018.0767857980494,-2.5,N,0.14289797084881395,gray,0,-0.345655593191966,-0.20983479309189657,-0.10822410513101427,-0.45544247606738314
19472864,44.3733915573,-79.6876424501,1064.9942626953125,-8.75,N,0.006217995610826618,gray,0,-0.3340482302015011,-1.17280232567963,-0.7544874313347006,0.8893287598475785
19474303,38.8698235406,-77.1321985208,2521.6563704003843,0.25,N,0.09670958512160228,gray,0,0.02632932964922332,0.2138709212467062,-0.3266164463651422,-0.0803935729560101
19475031,43.2814376413,-79.9009650604,2541.687744140625,-4.5,N,0.6343825665859564,melanic,1,0.031285082634614644,-0.5179844035199712,2.2156603487979885,0.7244156769132264
19475934,43.3147666667,-79.8490383333,652.88165283203125,-4.5,N,0.20926243567753003,gray,0,-0.4360047072325579,-0.5179844035199712,0.205566702244063,0.6829217568272121
19482689,27.9594033333,-82.4635166667,1987.755932917882,13,N,0,gray,0,-0.10575740195822404,2.1783246877256826,-0.7838879526530268,-0.12112552781736334
19483535,40.0900775,-83.1042389,1113.366128531844,-3.5,N,0.020017926501344485,gray,0,-0.3220810520320493,-0.3639095983059339,-0.6892372787563265,-0.3191132165634165
19491733,30.4513868866,-88.6569873066,171.54938780519268,8.5,N,0.4204350314825415,gray,0,-0.5550860962727915,1.4849880642625144,1.2040531588766914,-0.08584851054092471
19492331,40.51827,-79.8236383333,414.6973876953125,-2.75,N,0.31950800915331806,gray,0,-0.49493138886364746,-0.2483534943954059,0.7268403627758209,0.0848211831267106
19492846,31.33151,-94.707243,280.62468236940435,5,N,0.18053556003455226,gray,0,-0.5281009167399906,0.9457262460133837,0.06973754239716623,-0.24407462790247764
19495078,43.5411633333,-80.2150583333,239.95625097888936,-7.25,N,0.2807981492192019,melanic,1,-0.5381622686416752,-0.941690117858574,0.5438087021807592,0.603142894608377
19495483,43.3149,-79.8491733333,652.88165283203125,-4.5,N,0.21560808886357163,gray,0,-0.4360047072325579,-0.5179844035199712,0.23557082631421788,0.6829228740150082
19495580,39.0639638333,-78.0647138333,22.437892989096856,-1.75,N,0.10654098828906026,gray,0,-0.5919762140037859,-0.09427868918136853,-0.28013066597787023,-0.19022572247858624
19497082,41.9715543421,-87.7035224305,7326.59228515625,-4.75,N,0.001439263097294175,gray,0,1.215068345402779,-0.5565031048234806,-0.7770826912757111,-0.34302550610458277
