id,latitude,longitude,population_density,avg_winter_low_temp,introduced,prop_forest,prop_developed,col_class,melanic_binary,pop_den_scaled,winter_temp_scaled,prop_forest_scaled,prop_developed_scaled,RAC
4261491,43.731548,-79.762418,3368.10009765625,-6.75,N,0.00717154331612163,0,gray,0,0.14519263104811375,-0.9168810854664606,-0.6710492697549345,-0.42078283128782024,0.5851650529725828
12294619,40.8714705008,-73.921780279,21213.19921875,-0.75,N,0.13211910956923967,0.18936108701936977,gray,0,3.9243902558819657,0.00601139470062797,-0.01120034129935243,1.2691759445185609,-0.22473007164498
19352271,40.93325,-75.27613,99,-5.25,N,0.6185153339065634,0.00143307537976497,gray,0,-0.5471305239296538,-0.6861579654246884,2.557461354628757,-0.4079933065098063,-0.39913487866315217
19352915,38.9335656989,-79.9652937037,165.39999389648438,-4,N,0.6231386025200458,0.0143184421534937,gray,0,-0.533068472633679,-0.49388869872321167,2.5818768669276415,-0.29299745915010367,-0.5352774208591644
19357024,42.971658644,-81.2887046582,1092.0999755859375,-5.25,N,0.1302725968436155,0.05853658536585366,melanic,1,-0.33681389618279167,-0.6861579654246884,-0.02095178728521849,0.10162870374231396,0.56580758503629
19359919,38.4665666667,-78.0191945,345.5,-1.5,N,0.09846953508518626,0.15362402541149292,gray,0,-0.49492727147361215,-0.1093501653202581,-0.1889039679655089,0.950239452146255,-0.4376939028728655
19361826,42.574829892,-86.2308435108,77.80000305175781,-4,Y,0.3035246140401981,0.4713078939702884,melanic,1,-0.5516202147724789,-0.49388869872321167,0.8939932678937196,3.7854187915431634,0.9438800296214329
19361868,40.7047550794,-79.5571341933,86.19999694824219,-3.75,N,0.8712077847738982,0,gray,0,-0.5498412817014551,-0.4554348453829163,3.891931868410891,-0.42078283128782024,-0.5708962386770167
19363000,38.8392216667,-77.2121716667,1777.199951171875,0.25,N,0.30817790530846484,0,melanic,1,-0.19172486176842785,0.15982680806180943,0.918567330032212,-0.42078283128782024,-0.1467048867922805
19363210,32.1946883333,-94.76529,28.799999237060547,4,N,0.320068708846264,0,gray,0,-0.5619973327014268,0.7366346081662398,0.9813627426054986,-0.42078283128782024,-0.3625411184953358
19363568,45.4290473682,-122.5216483708,1320.300048828125,3,Y,0.01643753735803945,0,gray,0,-0.28848616379354575,0.5828191948050584,-0.6221154935879841,-0.42078283128782024,-0.6520663680083596
