ID,A_,TEMPERATE_OR_SUBPOLAR_NEEDLEAF_FOREST,SUBPOLAR_TAIGA_NEEDLELEAF_FOREST,TROPICAL_OR_SUBTROPICAL_BROADLEAF_EVERGREEN_FOREST,TROPICAL_OR_SUBTROPICAL_BROADLEAF_DECIDUOUS_FOREST,TEMPERATE_OR_SUBPOLAR_BROADLEAF_DECIDUOUS_FOREST,MIXED_FOREST,TROPICAL_OR_SUBTROPICAL_SHRUBLAND,TEMPERATE_OR_SUBPOLAR_SHRUBLAND,TROPICAL_OR_SUBTROPICAL_GRASSLAND,TEMPERATE_OR_SUBPOLAR_GRASSLAND,SUBPOLAR_OR_POLAR_SHRUBLAND_LICHEN_MOSS,SUBPOLAR_OR_POLAR_GRASSLAND_LICHEN_MOSS,SUBPOLAR_OR_POLAR_BARREN_LICHEN_MOSS,WETLAND,CROPLAND,BARREN_LAND,URBAN_AND_BUILT_UP
4261491,7200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14400.000000000000000,8100.000000000000000,0.000000000000000,18900.000000000000000,0.000000000000000,7200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6300.000000000000000,63000.000000000000000,15300.000000000000000,3004200.000000000000000,0.000000000000000
12294619,34200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,411300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,54000.000000000000000,0.000000000000000,0.000000000000000,2053800.000000000000000,589500.000000000000000
19352271,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1842300.000000000000000,99900.000000000000000,0.000000000000000,9900.000000000000000,0.000000000000000,30600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,65700.000000000000000,606600.000000000000000,153900.000000000000000,326700.000000000000000,4500.000000000000000
19352915,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1756800.000000000000000,201600.000000000000000,0.000000000000000,46800.000000000000000,0.000000000000000,71100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7200.000000000000000,227700.000000000000000,1800.000000000000000,784800.000000000000000,45000.000000000000000
19357024,4500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,144000.000000000000000,264600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,36900.000000000000000,459900.000000000000000,45000.000000000000000,2002500.000000000000000,183600.000000000000000
19359919,30600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,221400.000000000000000,85500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,80100.000000000000000,761400.000000000000000,0.000000000000000,1479600.000000000000000,478800.000000000000000
19361826,47700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,720900.000000000000000,216900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,284400.000000000000000,22500.000000000000000,82800.000000000000000,279000.000000000000000,1456200.000000000000000
19361868,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2008800.000000000000000,730800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,169200.000000000000000,0.000000000000000,235800.000000000000000,0.000000000000000
19363000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,819900.000000000000000,146700.000000000000000,0.000000000000000,11700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,45000.000000000000000,12600.000000000000000,0.000000000000000,2100600.000000000000000,0.000000000000000
19363210,0.000000000000000,0.000000000000000,459900.000000000000000,53100.000000000000000,0.000000000000000,477000.000000000000000,16200.000000000000000,0.000000000000000,99900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,83700.000000000000000,1377900.000000000000000,0.000000000000000,576000.000000000000000,0.000000000000000
