id,latitude,longitude,weighted_pop_density,avg_winter_low_temp,introduced,prop_forest,col_class,melanic_binary,pop_den_scaled,winter_temp_scaled,prop_forest_scaled,RAC_1km,RAC_10km,RAC_20km,RAC_30km,RAC_40km,RAC_50km
4261491,43.731548,-79.762418,4893.19952827149,-6.75,N,0.00943665999428081,gray,0,0.6301321380892565,-0.9170123682358239,-0.7119214154498357,0.8497063133822577,0.4560891919432811,0.5076235957044246,0.49782564536865564,0.6619274738539134,0.6902040201358988
12294619,40.8714705008,-73.921780279,6192.785759172538,-0.75,N,0.18489490559315996,gray,0,0.9613103483710067,0.008493378232953605,0.12654161752452076,0.7364601560049979,-0.11134493317665321,-0.21924661265356793,-0.268790099785659,-0.27902255796926245,-0.2897229599346731
19352271,40.93325,-75.27613,125.63534869783808,-5.25,N,0.6149228130360206,gray,0,-0.5848033043244936,-0.6856359316186296,2.1815177305448827,-0.5802666316803282,-0.5822402309324541,-0.38029045589956945,-0.38971040308435767,-0.47225377999913293,-0.42413549124193217
19352915,38.9335656989,-79.9652937037,12.20739455198802,-4,N,0.6340474811812391,gray,0,-0.6137085558243484,-0.4928222344376342,2.2729088601149736,0,-0.5398853487524171,-0.5398853487524171,-0.39666999103946027,-0.39666999103946027,-0.30916391744287297
19357024,42.971658644,-81.2887046582,2806.15332078087,-5.25,N,0.13315134971185927,melanic,1,0.09828268374959657,-0.6856359316186296,-0.12072552374336519,0.19482310495975175,0.5638997675636389,0.570974948763211,0.578928599350269,0.5964426133698517,0.5617085897273401
19359919,38.4665666667,-78.0191945,614.673828125,-1.5,N,0.12361437688948607,gray,0,-0.46017987840276436,-0.10719484007564357,-0.16629989461859823,0,-0.4375273561274696,-0.43402118699677433,-0.33402318822043964,-0.3853025472435895,-0.3998884049477051
19361826,42.574829892,-86.2308435108,42.53925704956055,-4,Y,0.5860010851871947,melanic,1,-0.6059789787500409,-0.4928222344376342,2.0433093518607386,0,2.032455475294778,1.6003774784034868,0.9940228378520385,1.0597240474005938,1.1082747621859657
19361868,40.7047550794,-79.5571341933,38.557769775390625,-3.75,N,0.8700742432895489,gray,0,-0.606993595401377,-0.45425949500143514,3.4008109096594294,0,-0.5144196437368772,-0.5215350006691651,-0.5142242381880276,-0.3286806693442434,-0.03318387964248102
19363000,38.8392216667,-77.2121716667,1988.5122207315503,0.25,N,0.3087018544935806,melanic,1,-0.11007972401413503,0.16274433597774987,0.718178388563858,0.2013120729999031,-0.24569165670184645,-0.19672985514973662,-0.13303900730587184,-0.14851883388450543,-0.14676782050000375
19363210,32.1946883333,-94.76529,42.99946511698916,4,N,0.3123929183323815,gray,0,-0.6058617022811894,0.7411854275207357,0.7358168903659227,0,0,0,-0.28233489835807524,-0.2857346021814428,-0.07893138762099804
19363568,45.4290473682,-122.5216483708,673.664881882062,3,Y,0.0579337899543379,gray,0,-0.4451469770520376,0.5869344697759395,-0.4801679829561464,0,-0.6591888494458005,-0.6528610856998264,-0.6637546582324411,-0.6602187547071381,-0.655912932469569
19363825,42.3862223902,-87.8298568726,2006.2371826171873,-5.75,N,0.10686584314852055,gray,0,-0.10556280854133294,-0.7627614104910276,-0.24633618103187696,0,0.018456152003047843,-0.24990917949661595,-0.10743269538471169,-0.11846352595994498,-0.20540847345516278
19363998,39.144555,-84.5086533333,2145.4152502543425,-2.5,N,0.09080492695502719,gray,0,-0.07009556346396109,-0.2614457978204398,-0.3230865466700332,-0.501305115657109,-0.44988087640722424,-0.4579982831938564,-0.4528649930348673,-0.43235107255075866,-0.43011781180502406
19367614,40.6820116667,-73.4600216667,2444.4398233801976,-0.75,N,0.010758941552776962,gray,0,0.006105938678319861,0.008493378232953605,-0.7056026231799224,-0.4306908927693606,-0.411950615418641,-0.3747938327723303,-0.33132360512596104,-0.21483756601251594,-0.22111324410158087
19368279,47.5502520635,-122.1232264861,1320.3115620601277,2.25,Y,0.11181012296253932,gray,0,-0.2803596892723526,0.4712462514673424,-0.22270893094405006,-0.7025426697612461,-0.6543705257332295,-0.6400362843150516,-0.6453294658948654,-0.6545101007124668,-0.6573344048021011
19369284,31.2982745169,-85.376669436,119.26381593596572,6.5,N,0.22724670864338867,gray,0,-0.5864269848211432,1.1268128218827265,0.3289283512811599,0,0,-0.24367207450449802,-0.2431446008152936,-0.24364801712551812,-0.24244256188981853
19374511,43.3025183333,-79.8439233333,4527.82763671875,-4.5,N,0.23887711864406783,melanic,1,0.5370231113432603,-0.5699477133100324,0.38450663892800174,0.28271212358962483,0.7492249496935861,0.6688091734981484,0.6877501181138277,0.5959243313884813,0.4871799537739923
19374606,43.3151236,-79.8494562,652.8816528320314,-4.5,N,0.21640937678673527,melanic,1,-0.4504432416915088,-0.5699477133100324,0.27713994939178604,0.9597608510813493,0.7440693373570418,0.6749786036706529,0.6722151267583742,0.6271783209930738,0.49696896585780764
19375862,29.7716161513,-95.5696825794,2186.887655443784,8.25,N,0.00341880341880341,gray,0,-0.05952700202483598,1.39675199793612,-0.740678971180871,-0.21755041751313894,-0.18768560587533176,-0.20692740057158857,-0.21040985704046503,-0.20890234035889493,-0.19298221735817944
19376667,28.08360834,-81.30286164,0.15339544415473938,12,N,0,gray,0,-0.6167803195567958,1.9751930894791059,-0.7570164210048382,0,-0.15318315432433408,0.29164605437341534,0.2042952872006247,-0.03150574823578277,-0.08087607641372453
19377479,43.51350089,-79.88841428,2924.990772264807,-6.25,N,0.13182346109175377,gray,0,0.12856645681604978,-0.8398868893634258,-0.12707111050143147,0.9574251994912782,0.5837216156745718,0.4703673662944938,0.6049883883024771,0.5093239769728916,0.6269740011427678
19377629,43.51358339,-79.88772713,3037.3214351829092,-6.25,N,0.1251815277374383,melanic,1,0.15719208166526547,-0.8398868893634258,-0.15881094447768362,0.5486899511175147,0.37935399148769,0.4583888976971333,0.6007471403904316,0.5088882696600584,0.6263775569473787
19379425,38.6850366667,-90.46885,1106.1633544225592,-2.75,N,0.06294706723891273,gray,0,-0.3349318434350529,-0.3000085372566389,-0.45621101437471134,-0.4877759599576983,-0.48734690992287205,-0.45677045437651015,-0.44896014669909917,-0.44291938089249683,-0.44698943530375973
19381010,43.5463085346,-79.5837163925,2922.80224609375,-4.75,N,0.03816338700059631,gray,0,0.12800874685940997,-0.6085104527462314,-0.5746448880861339,0.6703496082867874,0.5679704731544517,0.4786883958520281,0.6633003759132563,0.6743586992508079,0.676233009987984
19381491,32.4758375623,-86.3623044827,213.55669162631796,5.5,N,0.22327586206896555,gray,0,-0.5623979938462241,0.9725618641379301,0.30995285058067923,0,-0.2616497453584104,-0.2587423736112099,-0.26025568224221596,-0.25878610402312374,-0.25954933031874367
19381519,31.33151,-94.707243,280.62468236940435,5,N,0.17572620074777107,gray,0,-0.5453068177369724,0.8954363852655319,0.08272709033104605,-0.24691612812986907,-0.24152116244074118,-0.24244121533622107,-0.24268869900059922,-0.24611069074087802,-0.24625139074606514
19381818,40.9925327648,-74.3581993753,507.2799926293415,-3.75,N,0.4040638606676342,gray,0,-0.4875474338516132,-0.45425949500143514,1.1738851959259342,0,-0.5109452895165817,-0.4045365346615879,-0.411608778332601,-0.3217079506451561,-0.3072784369146342
19381947,39.738025,-75.6093,1754.1296386718752,-0.75,N,0.03203661327231121,gray,0,-0.16980827622718853,0.008493378232953605,-0.6039229266589664,0,-0.4460311538196842,-0.4277954098731542,-0.41759694777903694,-0.33185662668012955,-0.2638413288510378
19383125,41.845381,-87.87001,1379.6948938607284,-4.75,N,0.02368721461187214,gray,0,-0.2652268223038754,-0.6085104527462314,-0.6438222320489692,-0.5689205369331027,-0.5127556684329462,-0.3817849896379266,-0.3833345225465189,-0.37500976604182024,-0.38708483227241425
19384468,45.3705063095,-75.7969968232,3310.42626953125,-11.5,N,0.2963752665245203,gray,0,0.22678836401127628,-1.649704417523606,0.6592732724236248,0.05260770135677042,0.2818895204800325,0.43610984970858935,0.4080615802907478,0.40022649744178684,0.4001759143391624
