id,latitude,longitude,weighted_pop_density,avg_winter_low_temp,introduced,prop_forest,col_class,melanic_binary,pop_den_scaled,winter_temp_scaled,prop_forest_scaled,RAC_20km,RAC_1km,RAC_10km,RAC_30km,RAC_40km,RAC_50km
41442778,42.38639285,-71.108375,6579.936400342537,-3.25,N,0,melanic,1,1.030346010419223,-0.3253908970024246,-0.7838879526530268,-0.44437465820817373,-0.19964371679162657,-0.3987212147975224,-0.436411455743798,-0.4375185728222703,-0.4440817122824009
41442870,43.62871808,-72.93967883,121.79911802339775,-9.25,N,0.5068649885583524,gray,0,-0.5673942909673901,-1.249839728286649,1.6127195450550469,-0.762832642560108,-0.7657949280581022,-0.7626550831330543,-0.7603469726209936,-0.7645834327161966,-0.7260515842373315
41443701,42.47831788,-71.47345738,424.61756765190495,-6,N,0.11323991993136974,gray,0,-0.49247714073902976,-0.7490966113410273,-0.24845613693561724,-0.369952261362145,0.01600238578322574,-0.2693206307132717,-0.4759906450762259,-0.44297378691342726,-0.4462698388883301
41443775,36.4055994,-80.7315636,48.87514155738004,-0.5,N,0.3963344788087057,gray,0,-0.5854356504250331,0.09831481733617815,1.0900986215919093,-0.396530935260441,0,-0.4015010218857118,-0.3978871622852547,-0.39979662828847534,-0.39715008880986913
41443970,42.16616397,-77.08926855,28.47549955379619,-6,N,0.4733390362132877,gray,0,-0.5904825128155584,-0.7490966113410273,1.454198931929811,-0.6141153896446595,0,-0.6193600522858955,-0.32468799804085896,-0.32468799804085896,-0.13560241909215087
41445875,42.84397167,-72.55435333,478.9795923718785,-8,N,0.1783166904422254,gray,0,-0.47902799991666456,-1.057246221769102,0.05924607105578983,-0.36327708620753746,-0.6984361846655915,-0.30999471924265715,0.3443927840848818,0.2624219416454351,0.19630145469786525
41448104,40.652949220000004,-73.99477712,18060.373046875,-0.75,N,0,gray,0,3.8706009486192583,0.05979611603266883,-0.7838879526530268,-0.3461237232821609,-0.1764731195861899,-0.42221013271550895,-0.2784491241783642,-0.2775784316507625,-0.2946597941145161
41450373,42.98473361,-70.96228869,412.0610489849694,-5.25,N,0.18481085763788624,gray,0,-0.4955836178921558,-0.6335405074304993,0.0899524132649022,-0.5005222613887519,-0.5790161127337075,-0.588145438678988,-0.5047447074030985,-0.5055836446723019,-0.5137885743580024
41450511,42.98443293,-70.96210027,413.50759211676376,-5.25,N,0.17440510737086476,gray,0,-0.49522574376246065,-0.6335405074304993,0.04075095001104315,-0.5005344879116636,-0.5793584553752327,-0.5882215148215492,-0.5047518395414636,-0.5055887926819489,-0.5017467305066664
41452069,40.795455,-75.976005,47.95880039757291,-5.25,N,0.3817712811693895,gray,0,-0.5856623528218453,-0.6335405074304993,1.0212395181997809,-0.5905134698607942,-0.5741105476914387,-0.5646846714203635,-0.5911558694880908,-0.5393971105118937,-0.4726930286533802
41452856,43.20737268,-71.55011625,410.9793840394201,-8,N,0.08665906499429873,gray,0,-0.4958512213202887,-1.057246221769102,-0.374138276510624,-0.5788925624713508,-0.692652419129325,-0.7115962175725368,-0.6267978100732313,-0.6379472975155681,-0.6259744426782522
41453200,42.46524393,-83.31462413,978.017151644092,-4.25,N,0.19656652360515023,melanic,1,-0.35556632892714646,-0.4794657022164619,0.14553667699128325,1.0421242860316908,1.9674994479799932,1.2096794782396427,1.1125346628109654,0.940115028149506,0.8757074142467278
41453382,43.20747942,-71.55004886,411.0820227733742,-8,N,0.08435802116099514,gray,0,-0.4958258285429981,-1.057246221769102,-0.3850182919544515,-0.5789021976596134,-0.6928354877063141,-0.711626729002035,-0.6268033576058674,-0.6379512772672418,-0.6259768514753178
41454132,40.87383426,-73.91135949,8441.931891164735,-1.25,N,0.03017789072426937,gray,0,1.491002869608572,-0.01724128657434985,-0.6411979645745296,-0.20400618865309555,0.6224932385324008,-0.08416754941372791,-0.2583833548366185,-0.2697025726227537,-0.27982865225057396
41454999,42.18487197,-70.968241,841.9587584805826,-3,N,0.10974564161188911,gray,0,-0.3892271150944512,-0.28687219569891526,-0.2649781177561212,-0.5028905695860816,0,-0.5127867832524825,-0.4317100793857064,-0.4464475469051429,-0.4365488104930408
41458239,46.70611657,-71.34057024,709.6471116628142,-12.5,N,0.282339383462979,gray,0,-0.4219609578763852,-1.7505828452322705,0.5510961132818228,-0.2567759466954493,0,0.05308844125400699,-0.2913002582857167,-0.3040988114489215,-0.3040988114489215
41460393,36.187266,-95.33961297,65.03514317062005,-1,N,0.11117494972708994,gray,0,-0.581437673188062,0.02127741472915949,-0.2582199264768848,-0.42872345864939143,0,0,-0.42465891167563774,-0.4199138580410553,-0.4199584878949512
41461777,39.13644034,-77.05106872,1371.3505057048026,-1.25,N,0.40577637975407493,gray,0,-0.25825583145864256,-0.01724128657434985,1.1347427203343576,0.02096314724656105,0,-0.15763509106465445,-0.02973169208821249,-0.14262857208589771,-0.16446173891043966
41462896,36.22050561,-95.79731952,28.082419343425617,-1,N,0.5962230215827339,gray,0,-0.5905797606853901,0.02127741472915949,2.035230739872014,-0.3470989694355752,0,-0.30246837596729076,-0.3634090081143882,-0.36756132382565543,-0.3745018901223288
41465858,42.8170235,-72.575487,42.07229232788086,-8,N,0.6645714285714286,gray,0,-0.5871186723093751,-1.057246221769102,2.358402212242612,-0.4676548380478329,0,-0.34428585909280646,0.30682421324225356,0.2551957397569866,0.1812372627399267
41467091,38.65016734,-90.32083256,1411.3950843110224,-2,N,0,gray,0,-0.24834882045929976,-0.13279739048487788,-0.7838879526530268,-0.4345000790677035,-0.4558429106530395,-0.4680553146714093,-0.44722027627309546,-0.44278318834750313,-0.4365413866355041
41470264,42.992158,-79.24825553,1028.0221030509088,-4.25,N,0.02598593702231732,melanic,1,-0.34319512611139275,-0.4794657022164619,-0.6610187608396613,0.467807519051202,-0.22943265481449565,-0.04062127560559239,0.30634109401771725,0.19248259505456505,0.17093655259073237
41471377,40.80304016,-73.97060544,15983.797766384509,-0.75,N,0.07847636530518586,gray,0,3.3568571445681585,0.05979611603266883,-0.4128284994873561,-0.2633265537856912,-0.5449488370386857,-0.18086464195815835,-0.26598863007886975,-0.27447489173258866,-0.28187964457547743
41473497,40.75863985,-73.9860089,21564.87362613872,-0.5,N,0,gray,0,4.737612838727555,0.09831481733617815,-0.7838879526530268,-0.26814004664332125,-0.6005045185318454,-0.3096762560680088,-0.2654398140971686,-0.27582823337023427,-0.29336922264969695
